benchmark,scenario,metric,positive_favors,paired_n,mean_difference,ci95_lower,ci95_upper,comparator,margin,score_definition,mean_margin_score,noninferior,comparison,paired_dataset_n
B1_known_truth,equivalent_fit_multiple_parameters,heldout_coupling_relative_frobenius,soft_iot,15.0,0.0288593975486667,0.0167000624886133,0.0430744361132459,,,,,,,
B1_known_truth,equivalent_fit_multiple_parameters,coefficient_cosine,soft_iot,15.0,0.916553331106456,0.652352621106563,1.1781892314519191,,,,,,,
B1_known_truth,equivalent_fit_multiple_parameters,coefficient_sign_accuracy,soft_iot,15.0,0.45,0.2833333333333333,0.6166666666666667,,,,,,,
B1_known_truth,equivalent_fit_multiple_parameters,pure_column_minimum_curvature,soft_iot,15.0,0.2199842290551145,0.1792142365294088,0.2603262079866238,,,,,,,
B1_known_truth,equivalent_fit_multiple_parameters,restart_direction_variance,soft_iot,15.0,0.199830487323871,0.1951443068159652,0.2042973395561561,,,,,,,
B1_known_truth,hard_marginal_flat_direction,heldout_coupling_relative_frobenius,soft_iot,15.0,0.028908779328022,0.0191151808582945,0.0390590112133629,,,,,,,
B1_known_truth,hard_marginal_flat_direction,coefficient_cosine,soft_iot,15.0,0.6749596933186999,0.5129515338141685,0.8414419213574108,,,,,,,
B1_known_truth,hard_marginal_flat_direction,coefficient_sign_accuracy,soft_iot,15.0,0.3111111111111111,0.2111111111111111,0.411111111111111,,,,,,,
B1_known_truth,hard_marginal_flat_direction,pure_column_minimum_curvature,soft_iot,15.0,0.249500294646765,0.2118359757200908,0.2839642311713852,,,,,,,
B1_known_truth,hard_marginal_flat_direction,restart_direction_variance,soft_iot,15.0,0.1044142801317334,0.0881728024412423,0.1200933727832787,,,,,,,
B1_known_truth,identifiable_soft_marginal,heldout_coupling_relative_frobenius,soft_iot,15.0,0.028908779328022,0.0191151808582945,0.0390590112133629,,,,,,,
B1_known_truth,identifiable_soft_marginal,coefficient_cosine,soft_iot,15.0,0.6749596933186999,0.5129515338141685,0.8414419213574108,,,,,,,
B1_known_truth,identifiable_soft_marginal,coefficient_sign_accuracy,soft_iot,15.0,0.3111111111111111,0.2111111111111111,0.411111111111111,,,,,,,
B1_known_truth,identifiable_soft_marginal,pure_column_minimum_curvature,soft_iot,15.0,0.249500294646765,0.2118359757200908,0.2839642311713852,,,,,,,
B1_known_truth,identifiable_soft_marginal,restart_direction_variance,soft_iot,15.0,0.1044142801317334,0.0881728024412423,0.1200933727832787,,,,,,,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,heldout_coupling_relative_frobenius,soft_iot,15.0,-0.0046658890356185,-0.0092000935083892,0.0002528778612028,,,,,,,
B1_known_truth,nonlinear_or_hidden_confounding_misspecification,coefficient_cosine,soft_iot,15.0,0.4598756258613382,0.3098769897627247,0.6265084739995905,,,,,,,
